id,predizione,effettivo
4332,1.5171509,3.0
12434,1.2583052,1.0
8114,1.4724363,6.0
11419,2.003624,6.0
2041,1.5403364,5.0
3873,1.3679614,3.0
8387,1.7736623,9.0
8862,1.9791114,0.0
12564,2.6756172,15.0
6615,1.6265653,1.0
2012,1.8142747,5.0
10398,1.8902988,3.0
11678,2.3541183,6.0
4459,2.3656363,12.0
6638,1.4632447,1.0
11823,1.9370892,5.0
13439,1.9878073,16.0
2287,2.2711482,6.0
8874,2.0930429,11.0
3822,1.6335001,22.0
6785,1.8242183,3.0
11887,1.2382193,3.0
6971,2.004577,6.0
8590,1.9115167,6.0
5828,1.5895406,2.0
4191,1.9244646,4.0
4234,1.5030179,2.0
7603,2.5828652,11.0
6941,1.6062963,3.0
11072,2.0720801,8.0
6500,1.6470873,9.0
1344,1.8604492,14.0
1540,2.27215,9.0
903,2.2549858,12.0
7550,2.035478,8.0
4270,1.7018925,6.0
4270,1.7018925,6.0
7792,1.7487607,3.0
1572,2.3018193,17.0
5859,2.573289,10.0
7531,2.0299296,6.0
7485,1.7085332,4.0
7013,1.6232183,0.0
10877,1.7067437,3.0
1975,1.7265875,4.0
4136,1.696384,3.0
1750,1.9692729,9.0
11477,1.6533699,3.0
7421,1.9207165,9.0
5620,1.8715295,7.0
4187,1.5160787,0.0
13894,2.1043882,12.0
9559,1.28488,2.0
7652,2.873601,18.0
6020,1.5352619,7.0
9988,1.9790359,13.0
4530,1.4711847,3.0
4530,1.4711847,3.0
11391,1.1051024,1.0
13640,2.1100202,0.0
12544,1.2192147,1.0
4263,1.4706515,4.0
4263,1.4706515,4.0
12597,2.5827823,18.0
3900,1.7100191,4.0
8100,1.8572385,7.0
7706,1.6905681,1.0
3660,1.6176937,2.0
5534,1.8629609,9.0
13744,2.2944183,18.0
8337,1.660062,7.0
11556,3.0763717,10.0
3975,1.949244,4.0
11975,1.3394886,1.0
12907,1.5031286,0.0
13152,2.1578865,13.0
7553,2.0353937,6.0
3831,1.552989,9.0
10004,1.8306911,3.0
8178,1.7369099,0.0
3763,1.6264629,1.0
12256,1.6411487,4.0
8505,2.7757506,14.0
6386,1.4461194,5.0
1681,1.4339075,1.0
11283,1.7551645,5.0
5782,1.5138124,3.0
7145,1.9924703,6.0
1217,2.3350544,13.0
680,1.8463465,4.0
7024,1.6138341,1.0
582,1.7000715,3.0
7069,1.8303165,3.0
11334,1.2638848,4.0
6127,1.5631951,3.0
6893,1.5907909,2.0
2186,2.3927236,6.0
8535,1.44867,1.0
8174,1.8486443,6.0
1256,2.2182257,13.0
4244,1.7135518,5.0
4244,1.7135518,5.0
5626,1.9391129,7.0
4387,1.7136228,5.0
4387,1.7136228,5.0
5751,1.6130259,9.0
12187,1.534547,4.0
4308,1.7674208,7.0
4308,1.7674208,7.0
11267,1.4044375,6.0
13432,2.210102,9.0
7791,1.9959127,5.0
2202,1.3204631,2.0
9023,2.6491833,11.0
5843,2.3943336,10.0
1894,1.2960603,6.0
9373,2.3930874,5.0
3952,1.9049646,11.0
8836,1.9247333,7.0
4995,1.7491741,5.0
9656,1.6872766,5.0
7805,1.8253388,10.0
10901,1.400111,3.0
7804,1.7108427,10.0
2344,2.0366292,4.0
5232,1.6899967,3.0
9786,1.7041459,8.0
8197,1.9341092,9.0
4172,1.5695449,4.0
12819,1.7975531,14.0
9609,1.8936853,4.0
4689,1.4778775,1.0
13617,2.2195902,12.0
5652,1.4526587,4.0
8916,2.0821297,14.0
9019,2.0873766,7.0
5853,1.5576578,9.0
6264,1.3452961,0.0
13286,1.7476931,1.0
9113,2.283731,9.0
10806,1.5341935,5.0
13440,1.7180548,4.0
40,1.3708837,2.0
2314,1.9993024,4.0
6510,1.6464963,10.0
6329,1.547284,9.0
5510,1.3599274,13.0
965,2.3230405,9.0
4706,1.6570693,5.0
278,1.5028008,2.0
9218,2.2727737,16.0
7047,1.7424011,4.0
1592,2.0785987,9.0
36,1.3098836,1.0
1169,2.550941,12.0
10802,1.500756,1.0
6283,1.4515642,1.0
13594,1.6957462,6.0
10366,2.5129056,3.0
670,1.6728711,6.0
11977,3.0919714,19.0
5392,1.7549809,13.0
13058,1.8803626,7.0
1004,2.5145056,18.0
4148,2.838273,16.0
7988,2.2047057,15.0
5126,1.5276835,1.0
564,2.5551543,5.0
12796,2.086123,6.0
11951,2.547841,14.0
7928,1.2776793,2.0
10178,1.5843631,7.0
6869,1.4708129,1.0
5279,1.5424197,4.0
6619,1.4631493,1.0
1733,1.9213015,8.0
13680,2.0134494,4.0
13404,1.8434145,5.0
9721,1.8034048,24.0
12920,1.4588928,6.0
4288,1.4532499,3.0
4288,1.4532499,3.0
1939,3.018239,14.0
984,2.5152655,8.0
10142,2.439481,7.0
10018,1.6023757,2.0
7358,2.1165462,6.0
49,2.5554838,13.0
9363,1.4862708,2.0
14029,1.8104403,2.0
10026,1.5539254,3.0
47,1.7256378,5.0
3864,1.6149694,12.0
9991,1.7909565,12.0
4860,1.4268373,3.0
3636,1.3240085,1.0
4383,1.5339638,3.0
4383,1.5339638,3.0
4961,1.7313311,5.0
6537,1.7930229,10.0
2178,2.1686206,7.0
4370,1.5597881,1.0
3944,2.1498837,19.0
14019,1.4416409,3.0
254,1.9852796,7.0
7161,3.7836127,17.0
6184,2.0229847,2.0
6309,1.6027404,0.0
6309,1.6027404,0.0
4497,1.5340242,3.0
4497,1.5340242,3.0
7681,3.097694,22.0
7681,3.097694,22.0
7681,3.097694,22.0
7681,3.097694,22.0
13642,2.1640806,9.0
7703,2.7313275,15.0
12663,1.1051024,1.0
8132,1.7113853,7.0
105,2.6998062,13.0
11794,2.0029502,12.0
654,1.3955364,3.0
9520,2.0612764,7.0
13521,1.712424,6.0
1632,2.407763,20.0
10726,1.7775738,7.0
7042,1.8410826,4.0
296,1.8082204,12.0
9099,1.9325559,7.0
7842,2.149349,11.0
7944,2.3039248,4.0
11525,1.2475569,3.0
8556,1.7204278,3.0
13005,1.4673244,9.0
5317,1.5043737,3.0
9636,1.923038,11.0
7689,1.967303,7.0
7689,1.967303,7.0
7689,1.967303,7.0
7689,1.967303,7.0
13572,1.9833026,20.0
5596,2.1108985,15.0
13159,2.7021718,16.0
9461,1.7299172,7.0
7868,1.9436212,12.0
6437,1.7666504,0.0
951,2.2723622,14.0
5409,1.683585,12.0
5864,2.035303,11.0
7684,2.5863152,8.0
7684,2.5863152,8.0
7684,2.5863152,8.0
7684,2.5863152,8.0
814,2.7174616,19.0
918,2.1360247,6.0
2098,1.5076339,6.0
3756,1.5841134,1.0
5528,1.4184839,0.0
8917,2.1085484,11.0
10160,1.7593856,15.0
8708,2.263018,13.0
460,2.2939115,11.0
11224,2.306568,7.0
11232,1.2627225,1.0
4573,1.5144962,3.0
4884,1.7710602,9.0
5228,2.0884883,20.0
8609,1.9814321,4.0
12602,1.2259624,0.0
5292,1.4693794,0.0
1719,2.0153306,12.0
6776,1.7844889,3.0
13314,1.6209016,0.0
10358,1.7796698,15.0
13402,1.7097149,2.0
3863,1.5212393,11.0
4346,1.4982641,10.0
540,1.5564362,7.0
14047,2.4022794,20.0
6431,1.6408458,7.0
11494,1.5768688,1.0
7970,2.577355,5.0
493,1.7247765,9.0
8057,1.7652762,9.0
5313,1.5106882,3.0
8689,2.1858256,6.0
3638,1.9154617,6.0
1031,2.4204917,8.0
4356,1.7188869,11.0
6521,1.7572505,6.0
8377,2.002822,10.0
9387,1.5644388,0.0
6931,1.6318021,6.0
7743,1.6984315,2.0
1585,1.4025612,7.0
4578,1.5144191,3.0
5094,1.6879044,4.0
471,1.4625797,2.0
977,2.7325845,10.0
7795,1.7147834,3.0
2125,1.8514638,7.0
512,1.5660557,1.0
6946,1.8033097,3.0
4694,1.4778862,1.0
4246,1.8099673,9.0
4246,1.8099673,9.0
7120,1.903994,11.0
7011,1.7139442,1.0
12272,2.5388443,17.0
12155,3.6002812,15.0
8311,2.3687582,20.0
5034,1.7020766,7.0
9547,1.8099847,7.0
5305,1.6506726,7.0
4100,1.4709419,2.0
8170,1.8140638,7.0
473,1.7947266,5.0
1183,2.2488089,10.0
8778,1.6981329,5.0
10289,1.5801203,1.0
11443,1.9235544,6.0
11443,1.9235544,6.0
11337,1.8045608,3.0
642,1.3988657,3.0
9374,1.6499784,0.0
13892,1.7298716,6.0
468,1.4885416,0.0
691,1.8522363,12.0
1595,2.0561373,14.0
1304,1.6045058,2.0
5336,1.6421812,6.0
10205,1.7760925,16.0
8415,1.8735611,6.0
4489,1.6671727,6.0
4489,1.6671727,6.0
12588,2.5153177,5.0
6452,1.4617172,13.0
9320,2.176396,4.0
8627,2.0697677,5.0
353,1.6624736,2.0
8808,2.1184707,3.0
2030,1.6670016,8.0
9047,2.1806264,13.0
8042,1.8704753,6.0
5010,1.4720883,4.0
5122,2.7184448,16.0
6194,1.5569851,3.0
7489,2.5482817,12.0
2127,1.8597071,14.0
13943,1.5540822,7.0
2219,1.3301008,3.0
12100,3.3636498,15.0
1315,1.8321983,4.0
2129,2.813044,13.0
11571,1.5877147,2.0
2329,1.4736278,3.0
6799,2.0382035,3.0
6304,1.4679402,5.0
5379,1.5189666,2.0
10904,1.8399844,9.0
4391,1.8254082,9.0
4391,1.8254082,9.0
1896,1.2961471,6.0
3679,1.7886653,1.0
4000,1.5676272,5.0
1421,2.5014734,13.0
13097,1.8621013,19.0
12739,1.8545357,7.0
5227,1.8181612,18.0
942,2.420132,16.0
9810,1.5820148,4.0
3593,1.666754,2.0
6330,1.6578504,10.0
1818,2.6630926,17.0
10182,1.4750569,4.0
10879,2.2591987,8.0
5261,1.6527799,6.0
252,1.9827207,7.0
6372,1.5950556,9.0
5278,1.507579,4.0
4327,1.5167868,5.0
4327,1.5167868,5.0
5801,1.4799423,2.0
13515,1.509577,1.0
611,1.7403641,4.0
734,1.7497642,14.0
13716,2.793767,25.0
7133,1.6103368,4.0
273,1.2032564,1.0
13606,1.7619191,11.0
7694,2.58632,8.0
7694,2.58632,8.0
7694,2.58632,8.0
7694,2.58632,8.0
11367,1.7508492,4.0
11222,2.220859,8.0
11669,1.2243063,1.0
6442,1.7130997,7.0
13889,1.5309533,1.0
11809,1.3238566,3.0
5306,1.9866545,11.0
1292,1.4805833,4.0
5789,1.8439858,5.0
7801,1.7957964,11.0
474,1.5842407,1.0
1545,1.7386503,16.0
4508,1.5496733,20.0
4508,1.5496733,20.0
4323,1.7454972,8.0
4323,1.7454972,8.0
8308,2.089121,17.0
5017,2.1220303,9.0
8469,2.2729192,6.0
13609,1.5694277,2.0
2370,2.457512,10.0
4544,1.6136088,6.0
4544,1.6136088,6.0
3887,1.4988065,2.0
5999,1.7222521,10.0
4171,1.9733226,7.0
6523,1.4617219,10.0
13377,2.5113635,23.0
13377,2.5113635,23.0
10795,1.7456851,9.0
7876,2.289864,10.0
1343,1.6886458,11.0
4094,1.81516,3.0
5790,1.4514917,1.0
5861,1.7533152,6.0
1285,1.7421699,6.0
1704,1.4012147,5.0
862,2.31545,6.0
1905,1.3090007,2.0
6457,1.8303523,10.0
2148,1.9139979,5.0
5780,1.6642853,6.0
4033,1.4554924,5.0
9823,1.6097516,3.0
795,2.8685637,24.0
5792,1.914389,5.0
8091,1.8772001,10.0
4779,1.8566011,7.0
7166,2.9600592,11.0
4284,1.4536474,3.0
4284,1.4536474,3.0
7548,1.9122686,6.0
1747,1.2659324,2.0
7917,2.3821163,8.0
4821,1.7356493,4.0
1555,1.489087,8.0
12382,1.991574,5.0
12082,3.0046237,24.0
5960,1.8412663,11.0
5223,1.889683,9.0
2161,2.4450688,15.0
9236,1.331126,10.0
330,1.6186583,5.0
8310,1.9751925,17.0
1765,1.5898945,10.0
12140,2.0749512,1.0
5216,1.7453706,14.0
13529,1.7030461,6.0
11434,1.284317,5.0
9986,2.2717113,13.0
10982,3.0002885,23.0
4312,1.5343328,3.0
4312,1.5343328,3.0
7785,2.398026,19.0
851,2.4252357,24.0
4341,1.5046539,5.0
9824,1.8559892,5.0
2254,2.2619596,12.0
9645,2.1994529,13.0
13194,2.0411143,7.0
9295,2.5562897,9.0
7996,2.919465,21.0
9658,2.1724296,13.0
1462,2.0959353,8.0
3664,1.631604,3.0
5012,1.8021084,5.0
10483,2.4927182,24.0
4292,1.8378065,7.0
4292,1.8378065,7.0
9031,2.3925939,13.0
8633,1.654313,3.0
4059,1.7031773,19.0
894,2.054077,1.0
12224,2.921887,24.0
14017,1.5093503,4.0
2034,1.7862141,4.0
8589,1.5802212,4.0
5797,1.4844887,2.0
9337,1.993778,21.0
9412,1.526327,5.0
5332,1.5723059,1.0
11539,1.2673239,3.0
13885,1.6804278,4.0
8631,2.8287654,20.0
4456,1.7004803,8.0
1109,1.6235977,3.0
3750,1.6220903,2.0
12418,1.3602091,4.0
9838,1.8381448,5.0
1289,1.6093659,3.0
408,1.8616506,5.0
10299,1.6726224,14.0
7946,1.7824852,3.0
938,1.3392144,2.0
7976,2.7875056,12.0
10031,1.5053918,6.0
12464,2.4640598,11.0
5970,1.9223877,16.0
298,1.9092232,5.0
8794,1.6347247,7.0
11069,2.0122185,9.0
3851,1.5429503,1.0
537,2.0626872,2.0
11036,1.632108,8.0
8367,1.7792623,11.0
6865,1.4584867,1.0
12456,1.7963605,12.0
8850,1.7311554,4.0
6084,1.9151012,14.0
13219,1.8114626,5.0
5451,1.4443033,2.0
8721,2.343165,19.0
12343,1.5747586,3.0
6209,1.2635493,0.0
5370,1.7272829,6.0
8507,2.3386335,12.0
3846,1.7931486,5.0
4241,1.5338932,3.0
4241,1.5338932,3.0
7072,1.7418839,3.0
1803,2.6587853,14.0
12827,1.3734614,2.0
8064,1.6814198,2.0
947,2.2991867,10.0
10531,2.640428,2.0
2,3.0800633,16.0
13886,1.6051061,0.0
6178,1.8180633,2.0
6793,1.4964643,3.0
9792,1.7382805,17.0
2222,2.207212,8.0
5572,1.5580516,4.0
5172,1.8154025,17.0
2232,2.2886887,8.0
88,1.5617577,3.0
13578,2.091187,20.0
5104,2.169828,18.0
1744,1.9966847,17.0
6740,1.5132151,1.0
445,2.4537406,11.0
97,2.1716871,8.0
8325,2.8638382,16.0
11190,1.7330259,8.0
4840,1.4672799,0.0
7343,1.7839309,2.0
11057,2.2616572,9.0
5459,1.5178847,0.0
9550,1.8974333,0.0
7816,1.7754725,10.0
7659,3.097683,22.0
7659,3.097683,22.0
7659,3.097683,22.0
7659,3.097683,22.0
8422,1.7148551,1.0
1157,1.9834504,8.0
6165,1.8863567,5.0
4157,1.8028594,4.0
4610,1.5296216,13.0
9049,1.9890834,8.0
9863,1.8393292,6.0
11401,1.1051024,0.0
1221,2.4602704,15.0
3855,1.481733,9.0
5777,1.4818046,5.0
11339,1.8045617,3.0
5035,1.6883222,9.0
1075,2.0934854,9.0
730,2.2166905,17.0
11378,1.4020524,1.0
3646,2.3260286,8.0
9592,1.8149076,13.0
13921,1.793921,19.0
13946,1.8607912,12.0
4451,1.5276062,3.0
9953,1.8552942,14.0
4942,1.7922308,15.0
10779,1.7988915,6.0
7441,2.391891,5.0
5538,1.3811306,5.0
6476,1.5908175,10.0
2177,1.5872741,5.0
3906,1.8548272,6.0
10808,1.885029,10.0
6599,1.5023831,1.0
2167,2.4357338,12.0
6934,1.6317484,3.0
2355,2.2935157,17.0
4545,1.596637,6.0
4545,1.596637,6.0
2040,1.7128253,3.0
4603,1.498017,6.0
